REFINE	2008	0	0	0	0	0	0	0	0	0	0	0	0
REFINE	1	0	0	0	0	0	0	0	0	0	0	300	90
REFINE	2	0	0	0	0	0	0	0	0	0	0	600	90
REFINE	3	0	0	0	0	0	0	0	0	0	0	1250	90
REFINE	4	0	0	0	0	0	0	0	0	0	0	2500	90
REFINE	5	0	0	0	0	0	0	0	0	0	0	5000	90
REFINE	6	0	0	0	0	0	0	0	0	0	0	10000	90
REFINE	7	0	0	0	0	0	0	0	0	0	0	15000	90
REFINE	8	0	0	0	0	0	0	0	0	0	0	22500	90
REFINE	9	0	0	0	0	0	0	0	0	0	0	37500	90
REFINE	10	0	0	0	0	0	0	0	0	0	0	500	90
REFINE	11	0	0	0	0	0	0	0	0	0	0	1000	90
REFINE	12	0	0	0	0	0	0	0	0	0	0	2000	90
REFINE	13	0	0	0	0	0	0	0	0	0	0	4000	90
REFINE	14	0	0	0	0	0	0	0	0	0	0	6500	90
REFINE	15	0	0	0	0	0	0	0	0	0	0	10000	90
REFINE	16	0	0	0	0	0	0	0	0	0	0	20000	90
REFINE	17	0	0	0	0	0	0	0	0	0	0	35000	90
REFINE	18	0	0	0	0	0	0	0	0	0	0	60000	90
REFINE	19	0	0	0	0	0	0	0	0	0	0	600	90
REFINE	20	0	0	0	0	0	0	0	0	0	0	1250	90
REFINE	21	0	0	0	0	0	0	0	0	0	0	2500	90
REFINE	22	0	0	0	0	0	0	0	0	0	0	5000	90
REFINE	23	0	0	0	0	0	0	0	0	0	0	10000	90
REFINE	24	0	0	0	0	0	0	0	0	0	0	15000	90
REFINE	25	27992	1	0	0	0	0	0	0	0	0	22500	90
REFINE	26	27993	1	0	0	0	0	0	0	0	0	45000	90
REFINE	27	27994	1	0	0	0	0	0	0	0	0	75000	90
REFINE	28	0	0	0	0	0	0	0	0	0	0	300	90
REFINE	29	0	0	0	0	0	0	0	0	0	0	600	90
REFINE	30	0	0	0	0	0	0	0	0	0	0	1250	90
REFINE	31	0	0	0	0	0	0	0	0	0	0	2500	90
REFINE	32	0	0	0	0	0	0	0	0	0	0	5000	90
